iter	Passed	Remaining
884	1764	229
885	1767	227
886	1771	225
887	1773	223
888	1775	221
889	1777	219
890	1782	218
891	1784	216
892	1787	214
893	1789	212
894	1791	210
895	1793	208
896	1796	206
897	1798	204
898	1800	202
899	1802	200
900	1803	198
901	1805	196
902	1806	194
903	1807	191
904	1810	190
905	1811	187
906	1813	185
907	1815	183
908	1816	181
909	1817	179
910	1818	177
911	1820	175
912	1821	173
913	1822	171
914	1824	169
915	1826	167
916	1828	165
917	1829	163
918	1830	161
919	1831	159
920	1832	157
921	1834	155
922	1835	153
923	1836	151
924	1847	149
925	1849	147
926	1851	145
927	1852	143
928	1853	141
929	1855	139
930	1856	137
931	1857	135
932	1858	133
933	1859	131
934	1861	129
935	1863	127
936	1864	125
937	1865	123
938	1866	121
939	1867	119
940	1869	117
941	1870	115
942	1871	113
943	1872	111
944	1874	109
945	1875	107
946	1877	105
947	1878	103
948	1879	101
949	1881	99
950	1882	97
951	1883	94
952	1885	92
953	1886	90
954	1887	88
955	1888	86
956	1890	84
957	1892	82
958	1893	80
959	1894	78
960	1895	76
961	1897	74
962	1898	72
963	1899	70
964	1900	68
965	1901	66
966	1903	64
967	1904	62
968	1905	60
969	1906	58
970	1908	56
971	1909	55
972	1910	53
973	1911	51
974	1912	49
975	1913	47
976	1914	45
977	1916	43
978	1917	41
979	1919	39
980	1920	37
981	1922	35
982	1923	33
983	1925	31
984	1926	29
985	1927	27
986	1928	25
987	1929	23
988	1930	21
989	1932	19
990	1933	17
991	1934	15
992	1935	13
993	1937	11
994	1938	9
995	1939	7
996	1940	5
997	1941	3
998	1942	1
999	1944	0
